Employee.ID,Designation,Type.of.Leave_Absent,Type.of.Leave_Casual Leave,Type.of.Leave_Casual Leave Confirmed COE,Type.of.Leave_Earned Leave,Type.of.Leave_Earned Leave Confirmed COE,Type.of.Leave_LWP,Type.of.Leave_Sick Leave,Leave.applied.for.no..of.days,Date.of.joining.the.company,Status.of.Leave_Absent,Status.of.Leave_Approved,Status.of.Leave_Rejected,From.my,To.my
VHR190,Trainee Dealer,0,1,0,0,0,0,0,1,20-07-2015,0,1,0,42017,42017
VHR190,Trainee Dealer,0,0,0,0,0,1,0,1,20-07-2015,0,1,0,52017,52017
VHR190,Trainee Dealer,0,0,0,0,0,0,1,0.5,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,122016,122016
VHR190,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,22017,22017
VHR190,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,1,0,0,0,0,0,0.5,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,0,0,0,0,1,0,1,20-07-2015,0,1,0,22017,22017
VHR190,Trainee Dealer,0,0,0,0,0,1,0,0.5,20-07-2015,0,1,0,22017,22017
VHR190,Trainee Dealer,0,0,0,0,0,1,0,0.5,20-07-2015,0,1,0,12017,12017
VHR190,Trainee Dealer,0,0,0,0,0,1,0,0.5,20-07-2015,0,1,0,12017,12017
VHR192,Trainee Dealer,0,0,0,1,0,0,0,1,10-08-2015,0,1,0,22017,22017
VHR192,Trainee Dealer,0,0,0,1,0,0,0,1,10-08-2015,0,1,0,22017,22017
VHR192,Trainee Dealer,0,0,0,1,0,0,0,1,10-08-2015,0,1,0,12017,12017
VHR192,Trainee Dealer,0,0,0,1,0,0,0,1,10-08-2015,0,1,0,12017,12017
VHR183,Trainee Dealer,0,0,0,0,0,0,1,0.5,20-07-2015,0,1,0,52017,52017
VHR183,Trainee Dealer,0,0,0,1,0,0,0,0.5,20-07-2015,0,1,0,42017,42017
VHR183,Trainee Dealer,0,0,0,1,0,0,0,0.5,20-07-2015,0,1,0,32017,32017
VHR183,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,32017,32017
VHR183,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,1,0,32017,32017
